,IP address,Mac Addresses,Model,Serial Number,Time Stamp
0,172.16.20.154,00:57:D2:F5:AE:00,WS-C2960XR-48FPD-I,FDO1847I15M,2024-02-20 20:25:26.693533
1,172.16.20.211,,,,2024-02-20 20:25:36.699698
2,172.16.20.210,B0:90:7E:49:1C:00,WS-C2960X-48FPD-L,FCW2223B4LC,2024-02-20 20:25:38.492405
3,192.16.10.1,,,,2024-02-20 20:25:48.494128
4,172.16.20.154,00:57:D2:F5:AE:00,WS-C2960XR-48FPD-I,FDO1847I15M,2024-02-20 20:25:50.988463
5,172.16.20.154,00:57:D2:F5:AE:00,WS-C2960XR-48FPD-I,FDO1847I15M,2024-02-20 20:25:52.703381
6,172.16.20.211,,,,2024-02-20 20:26:02.705539
7,172.16.20.210,B0:90:7E:49:1C:00,WS-C2960X-48FPD-L,FCW2223B4LC,2024-02-20 20:26:04.639065
8,192.16.10.1,,,,2024-02-20 20:26:14.664980
9,172.16.20.154,00:57:D2:F5:AE:00,WS-C2960XR-48FPD-I,FDO1847I15M,2024-02-20 20:26:16.653049
10,172.16.20.154,00:57:D2:F5:AE:00,WS-C2960XR-48FPD-I,FDO1847I15M,2024-02-20 20:26:18.296954
11,172.16.20.211,,,,2024-02-20 20:26:28.298971
12,172.16.20.210,B0:90:7E:49:1C:00,WS-C2960X-48FPD-L,FCW2223B4LC,2024-02-20 20:26:30.242120
13,192.16.10.1,,,,2024-02-20 20:26:40.243962
14,172.16.20.154,00:57:D2:F5:AE:00,WS-C2960XR-48FPD-I,FDO1847I15M,2024-02-20 20:26:42.110538
